"","Line","individual","blk","treat","UNr","UNHmax","UNInflect_DD","UNInflect_size","UNduration","UNSTP"
"107",344,2121,13,"UN",0.0155766102884352,47.3904391886318,630.25112349058,23.6952195958807,874.257576771615,46.713865417165
"108",346,2069,13,"UN",0.0142218181201618,47.2831229990412,643.042360613399,23.6415615028574,891.843423497152,46.6618595169849
"109",347,2055,13,"UN",0.0155998094361037,56.1499086972544,598.260396856747,28.0749543638828,873.537394810223,55.1324862864094
"110",353,2001,13,"UN",0.0179801146854409,50.5762760511594,614.750717126709,25.288138041591,859.970021208784,50.0074793431638
"111",354,2131,13,"UN",0.0157325185922538,50.9965810687488,597.168413356003,25.4982905497279,849.857657713372,49.8425419921156
"112",355,2015,13,"UN",0.0152891300145751,38.6984505467812,605.765663381298,19.3492252527332,869.434018320477,37.7627236801739
"113",357,2087,13,"UN",0.0158123230977091,55.3744828109023,625.243462490187,27.6872414296252,907.915972020567,54.1885301666113
"114",359,2072,13,"UN",0.0133009790800269,46.6711267181671,640.227705685377,23.33556336044,946.589851810495,45.9075833871682
"115",360,2208,14,"UN",0.0158775649644124,38.6236102351126,581.990836953735,19.3118050850887,841.993570963862,37.6906323328449
"116",363,2046,13,"UN",0.0162175401307289,56.4326061383318,615.124869342451,28.2163030977824,874.257576771615,54.9344586446939
"117",373,2004,13,"UN",0.0160534963246138,43.1677856156737,609.15642617913,21.5838927986279,840.599181522663,42.4382341407328
"118",376,2034,13,"UN",0.0142460115837972,57.70701694854,649.145013629113,28.8535085095058,943.792991838837,57.3307773049946
"119",380,2012,13,"UN",0.0158889263392557,44.6543486885204,591.378723943466,22.3271743390904,831.856150096731,43.5357030271422
"120",500,2032,13,"UN",NA,NA,NA,NA,NA,NA
"121",511,2068,13,"UN",0.0152191053108393,32.7940642211459,608.115253118708,16.3970320661072,871.821945203464,32.0125448029546
