edge,node1,node2,cor
Bra025250|Bra008430,Bra025250,Bra008430,0.727998615820433
UNHmax12|Bra037542,UNHmax12,Bra037542,-0.6207471743627168
Bra025250|Bra037542,Bra025250,Bra037542,0.6852708794258171
Bra017236|Bra037542,Bra017236,Bra037542,0.7357346512972627
Bra038899|Bra037542,Bra038899,Bra037542,0.6319785278697257
Bra039532|Bra011761,Bra039532,Bra011761,0.640638700098832
Bra039532|Bra025790,Bra039532,Bra025790,0.7472139548600167
UNHmax11|UNd11,UNHmax11,UNd11,0.43855359206650407
UNiD11|UNHmax12,UNiD11,UNHmax12,0.4914456634917275
UNd11|UNiD12,UNd11,UNiD12,0.4593603089359906
UNr12|Bra029099,UNr12,Bra029099,-0.4499534345013568
UNiD12|Bra013968,UNiD12,Bra013968,-0.5864185783395975
Bra029099|Bra026943,Bra029099,Bra026943,0.8759078416185626
UNiD12|Bra102309,UNiD12,Bra102309,0.5823337130407007
UNd12|Bra100024,UNd12,Bra100024,0.5755712856431013
Bra008637|Bra100024,Bra008637,Bra100024,-0.6531270434670865
Bra028216|Bra100024,Bra028216,Bra100024,-0.6768458105220994
Bra013968|Bra100024,Bra013968,Bra100024,-0.6922958960580085
Bra008575|Bra100024,Bra008575,Bra100024,-0.6353824712378602
Bra013959|Bra100024,Bra013959,Bra100024,-0.6664836163678368
Bra005332|Bra100024,Bra005332,Bra100024,-0.6657989020250652
Bra008577|Bra100024,Bra008577,Bra100024,-0.6552856279475446
Bra102309|Bra100024,Bra102309,Bra100024,0.630608230555231
UNHmax11|Bra028781,UNHmax11,Bra028781,0.5426324245655934
Bra013968|Bra008859,Bra013968,Bra008859,0.6134679621880014
Bra008575|Bra008859,Bra008575,Bra008859,0.6223360663375143
Bra100024|Bra008859,Bra100024,Bra008859,-0.8009613783140359
UNr11|Bra032157,UNr11,Bra032157,-0.34782666169486004
Bra029099|Bra029111,Bra029099,Bra029111,-0.8508987268912844
UNd12|Bra008635,UNd12,Bra008635,-0.5872077350053456
Bra008637|Bra008635,Bra008637,Bra008635,0.9027481895873312
Bra028216|Bra008635,Bra028216,Bra008635,0.8963976509280892
Bra013968|Bra008635,Bra013968,Bra008635,0.7702921476374991
Bra008575|Bra008635,Bra008575,Bra008635,0.8365450226559066
Bra013959|Bra008635,Bra013959,Bra008635,0.8037119669921582
Bra005332|Bra008635,Bra005332,Bra008635,0.8914433048953717
Bra008577|Bra008635,Bra008577,Bra008635,0.8397052369192627
Bra102309|Bra008635,Bra102309,Bra008635,-0.8071539441076886
UNr11|Bra034353,UNr11,Bra034353,0.3584820888203841
Bra032157|Bra034353,Bra032157,Bra034353,-0.7716540403169792
Bra029099|Bra022867,Bra029099,Bra022867,0.6970887850780175
UNd12|Bra008797,UNd12,Bra008797,0.6291915445486225
Bra029099|Bra023094,Bra029099,Bra023094,0.6107625674799664
Bra026943|Bra023094,Bra026943,Bra023094,0.6524107029268266
Bra022867|Bra023094,Bra022867,Bra023094,0.5869652134871169
UNd12|Bra008711,UNd12,Bra008711,0.5796515094551787
Bra008637|Bra008711,Bra008637,Bra008711,-0.7393852494906711
Bra028216|Bra008711,Bra028216,Bra008711,-0.7422897475368814
Bra013968|Bra008711,Bra013968,Bra008711,-0.6545777849762419
Bra008575|Bra008711,Bra008575,Bra008711,-0.6443550726467998
Bra013959|Bra008711,Bra013959,Bra008711,-0.6775710831341547
Bra005332|Bra008711,Bra005332,Bra008711,-0.7182948755980765
Bra008577|Bra008711,Bra008577,Bra008711,-0.632428277468326
Bra102309|Bra008711,Bra102309,Bra008711,0.6428770642085886
Bra100024|Bra008711,Bra100024,Bra008711,0.5959414019119144
Bra008635|Bra008711,Bra008635,Bra008711,-0.6772062450790622
Bra008637|Bra008840,Bra008637,Bra008840,-0.5875649439900587
Bra028216|Bra008840,Bra028216,Bra008840,-0.6050772941439364
Bra008575|Bra008840,Bra008575,Bra008840,-0.6091621371072236
Bra008577|Bra008840,Bra008577,Bra008840,-0.6067673991349892
Bra100024|Bra008840,Bra100024,Bra008840,0.6464371074609928
Bra008635|Bra008840,Bra008635,Bra008840,-0.6112876933019186
Bra008566|Bra008840,Bra008566,Bra008840,0.6089274470237658
Bra008711|Bra008840,Bra008711,Bra008840,0.6388049614175387
UNHmax11|Bra018223,UNHmax11,Bra018223,-0.6169652538103746
UNHmax11|Bra032711,UNHmax11,Bra032711,-0.6206604547441371
Bra018223|Bra032711,Bra018223,Bra032711,0.7827958208306652
Bra029099|Bra023009,Bra029099,Bra023009,-0.5795450253289661
Bra100024|Bra008734,Bra100024,Bra008734,-0.6694938866670058
Bra008635|Bra008734,Bra008635,Bra008734,0.714188441094533
Bra008711|Bra008734,Bra008711,Bra008734,-0.6694013765282395
UNiD12|Bra022535,UNiD12,Bra022535,0.6133638614258193
UNHmax11|Bra029573,UNHmax11,Bra029573,-0.4858313004746015
UNHmax12|Bra029573,UNHmax12,Bra029573,-0.5109866869069983
UNiD11|Bra017468,UNiD11,Bra017468,-0.47343902437748864
UNHmax11|Bra025497,UNHmax11,Bra025497,-0.576057790638807
Bra032711|Bra025497,Bra032711,Bra025497,0.7136767804862773
Bra029573|Bra025497,Bra029573,Bra025497,0.5840652762263457
Bra008797|Bra008684,Bra008797,Bra008684,-0.6536795259973718
UNd12|Bra008931,UNd12,Bra008931,0.6536603337898255
Bra008797|Bra008931,Bra008797,Bra008931,0.739030285156235
Bra008840|Bra008931,Bra008840,Bra008931,0.711973461156171
UNr12|Bra029100,UNr12,Bra029100,-0.44009069125456546
Bra029099|Bra029100,Bra029099,Bra029100,0.8088988262989769
Bra026943|Bra029100,Bra026943,Bra029100,0.7776705667767914
Bra029111|Bra029100,Bra029111,Bra029100,-0.7155100877803969
Bra022867|Bra029100,Bra022867,Bra029100,0.6311362993210838
Bra029111|Bra023056,Bra029111,Bra023056,-0.6158233807477194
UNr12|Bra022924,UNr12,Bra022924,0.4359281379992191
