graph,edge,MR_Cutoff,node1,node2,cor
blup.mr.graph.UN.2012.50,Bra013968|Bra005332,50,Bra013968,Bra005332,0.8299326208034266
blup.mr.graph.UN.2012.50,Bra013968|Bra008566,50,Bra013968,Bra008566,-0.757413876165608
blup.mr.graph.UN.2012.50,Bra013968|Bra008575,50,Bra013968,Bra008575,0.8916930420371801
blup.mr.graph.UN.2012.50,Bra013968|Bra008577,50,Bra013968,Bra008577,0.8977543526199958
blup.mr.graph.UN.2012.50,Bra013968|Bra008635,50,Bra013968,Bra008635,0.7702921476374991
blup.mr.graph.UN.2012.50,Bra013968|Bra008711,50,Bra013968,Bra008711,-0.6545777849762419
blup.mr.graph.UN.2012.50,Bra013968|Bra008734,50,Bra013968,Bra008734,0.610522486802762
blup.mr.graph.UN.2012.50,Bra013968|Bra008859,50,Bra013968,Bra008859,0.6134679621880014
blup.mr.graph.UN.2012.50,Bra013968|Bra013959,50,Bra013968,Bra013959,0.9509234698149137
blup.mr.graph.UN.2012.50,Bra013968|Bra100024,50,Bra013968,Bra100024,-0.6922958960580085
blup.mr.graph.UN.2012.50,Bra013968|Bra102309,50,Bra013968,Bra102309,-0.851435623418086
blup.mr.graph.UN.2012.50,Bra018973|Bra019796,50,Bra018973,Bra019796,0.7428521661598183
blup.mr.graph.UN.2012.50,Bra018973|Bra021591,50,Bra018973,Bra021591,0.7994096270498406
blup.mr.graph.UN.2012.50,Bra019796|Bra011761,50,Bra019796,Bra011761,0.6412165860303389
blup.mr.graph.UN.2012.50,Bra019796|Bra025790,50,Bra019796,Bra025790,0.689961625089641
blup.mr.graph.UN.2012.50,Bra019796|Bra101871,50,Bra019796,Bra101871,0.6134679099291559
blup.mr.graph.UN.2012.50,Bra022867|Bra022924,50,Bra022867,Bra022924,-0.6252719551037476
blup.mr.graph.UN.2012.50,Bra022867|Bra023056,50,Bra022867,Bra023056,0.68624949987708606
blup.mr.graph.UN.2012.50,Bra022867|Bra023094,50,Bra022867,Bra023094,0.5869652134871169
blup.mr.graph.UN.2012.50,Bra022867|Bra029100,50,Bra022867,Bra029100,0.6311362993210838
blup.mr.graph.UN.2012.50,Bra023009|Bra023056,50,Bra023009,Bra023056,-0.6402667509045533
blup.mr.graph.UN.2012.50,Bra023056|Bra012899,50,Bra023056,Bra012899,-0.514575290057781
blup.mr.graph.UN.2012.50,Bra023056|Bra022924,50,Bra023056,Bra022924,-0.642014875775316
blup.mr.graph.UN.2012.50,Bra023094|Bra012899,50,Bra023094,Bra012899,-0.513470854333272
blup.mr.graph.UN.2012.50,Bra023094|Bra022924,50,Bra023094,Bra022924,-0.5749295723145871
blup.mr.graph.UN.2012.50,Bra023094|Bra023009,50,Bra023094,Bra023009,-0.6017182576001177
blup.mr.graph.UN.2012.50,Bra023094|Bra023056,50,Bra023094,Bra023056,0.6701992305848408
blup.mr.graph.UN.2012.50,Bra024934|Bra002619,50,Bra024934,Bra002619,0.815196626846797
blup.mr.graph.UN.2012.50,Bra024934|Bra018973,50,Bra024934,Bra018973,0.8435719708051516
blup.mr.graph.UN.2012.50,Bra024934|Bra021591,50,Bra024934,Bra021591,0.7775511756793394
blup.mr.graph.UN.2012.50,Bra024934|Bra025250,50,Bra024934,Bra025250,0.7601410754914
blup.mr.graph.UN.2012.50,Bra024934|Bra037542,50,Bra024934,Bra037542,0.6784508681967211
blup.mr.graph.UN.2012.50,Bra024934|Bra037847,50,Bra024934,Bra037847,0.6688183273443613
blup.mr.graph.UN.2012.50,Bra025250|Bra021591,50,Bra025250,Bra021591,0.7715987750298936
blup.mr.graph.UN.2012.50,Bra025250|Bra037542,50,Bra025250,Bra037542,0.6852708794258171
blup.mr.graph.UN.2012.50,Bra025250|Bra038899,50,Bra025250,Bra038899,0.6663303142889849
blup.mr.graph.UN.2012.50,Bra025497|Bra024934,50,Bra025497,Bra024934,0.6718331501521763
blup.mr.graph.UN.2012.50,Bra025497|Bra025250,50,Bra025497,Bra025250,0.6742596371806937
blup.mr.graph.UN.2012.50,Bra025497|Bra026068,50,Bra025497,Bra026068,-0.5320913131478573
blup.mr.graph.UN.2012.50,Bra025497|Bra039792,50,Bra025497,Bra039792,0.6261819037104751
blup.mr.graph.UN.2012.50,Bra026068|Bra002619,50,Bra026068,Bra002619,-0.5424191150593678
